nome,tot,male,female
AGNESE CLAUDIA,4,0,4
AGNESE DIALMA,14,0,14
AGNESE ELENA,3,3,0
AGNESE MARCELLA,1,0,1
AGNESE MARIA,11,0,11
AGNESINA,9,0,9
AGNIESZKA ALICJA,3,0,3
AGNIESZKA BEATA,5,0,5
AGOP,1,1,0
AGOSTIN,5,5,0
AGOSTINA,189,0,189
AGOSTINA ANGELA,11,0,11
AGOSTINA SILVANA,4,0,4
AGOSTINIANO,10,10,0
AGOSTINIO,3,3,0
AGOSTINO,9556,9556,0
AGOSTINO ALDO,25,25,0
AGOSTINO ALFIO,5,5,0
AGOSTINO ANDREA,2,2,0
AGOSTINO ANGELO,7,7,0
AGOSTINO ANTONIO,29,29,0
AGOSTINO ARTURO,9,9,0
AGOSTINO AUGUSTO,4,4,0
AGOSTINO AUGUSTO MARIA,4,4,0
AGOSTINO BATTISTA,14,14,0
AGOSTINO CARMELO,5,5,0
AGOSTINO CARMINE,15,15,0
AGOSTINO CELESTINO,21,21,0
AGOSTINO CESARE,9,9,0
AGOSTINO EMANUELE,5,5,0
AGOSTINO ENRICO,6,6,0
AGOSTINO FEL,5,5,0
AGOSTINO FERNANDO,16,16,0
AGOSTINO FRANCESCO,11,11,0
AGOSTINO GABRIELE,20,20,0
AGOSTINO GIA,5,5,0
AGOSTINO GIOVANNI,10,10,0
AGOSTINO GIULIANO,5,5,0
AGOSTINO GIULIO,5,5,0
AGOSTINO GIUSEPPE,46,46,0
AGOSTINO INNOCENZO,4,4,0
AGOSTINO IOSE',28,28,0
AGOSTINO JOSE',5,5,0
AGOSTINO LORENZO,7,7,0
AGOSTINO LUCA,10,10,0
AGOSTINO LUI,5,5,0
AGOSTINO LUIGI,12,12,0
AGOSTINO MARIO,72,72,0
AGOSTINO MASSIMO,5,5,0
AGOSTINO MATTEO,14,14,0
AGOSTINO MILLO,18,18,0
AGOSTINO NAPOLEONE,4,4,0
AGOSTINO NICOLA,8,8,0
AGOSTINO NINO,5,5,0
AGOSTINO ORLANDO,25,25,0
AGOSTINO P.,5,5,0
AGOSTINO POMPEO,5,5,0
AGOSTINO ROBERTO,5,5,0
AGOSTINO ROCCO,7,7,0
AGOSTINO ROMANO,4,4,0
AGOSTINO ROSARIO,9,9,0
